Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,Ichimoku_base,Ichimoku_conversion,Ichimoku_span_a,Ichimoku_span_b,Bollinger_upper,Bollinger_lower
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-04-21,64926.64453125,65723.2421875,64277.72265625,64992.81640625,20506644853,47.35218565192382,-881.4967909481638,-457.4372842741103,66183.375,63791.41015625,64987.392578125,66536.990234375,72098.94124286705,60901.06305400796
2024-04-22,66837.6796875,67233.9609375,64548.1796875,64935.6328125,28282686673,51.81468150632583,-680.7330058373991,-502.09642858676807,66183.375,63442.67578125,64813.025390625,66536.990234375,72148.9469064209,60990.128093579115
2024-04-23,66407.2734375,67199.2421875,65864.8671875,66839.890625,24310975583,50.77090631236957,-550.0162026214239,-511.68038339369923,66183.375,63442.67578125,64813.025390625,66536.990234375,72164.36367643514,61017.357417314866
2024-04-24,64276.8984375,67075.3671875,63589.87109375,66408.71875,30276655120,45.84784507973879,-611.279206339721,-531.6001479829036,66183.375,63442.67578125,64813.025390625,66536.990234375,71966.74891784607,60791.77764465392
2024-04-25,64481.70703125,65275.20703125,62783.6328125,64275.01953125,32155786816,46.386083453329,-635.9731338957645,-552.4747451654758,66183.375,63442.67578125,64813.025390625,66536.990234375,71815.22818511876,60607.70501800623
2024-04-26,63755.3203125,64789.65625,63322.3984375,64485.37109375,24139372950,44.68952414274727,-706.018050326893,-583.1834061977593,66183.375,63442.67578125,64813.025390625,66700.73046875,71513.46810151124,60395.386195363775
2024-04-27,63419.140625,63898.36328125,62424.71875,63750.98828125,19530783039,43.88945089896136,-779.6685092079642,-622.4804267998003,66183.375,63442.67578125,64813.025390625,66700.73046875,71089.76631621463,60224.746574410354
2024-04-28,63113.23046875,64321.484375,62793.59765625,63423.515625,17334827993,43.132725984302894,-852.8898383545747,-668.5623091107552,66183.375,64829.33984375,65506.357421875,66700.73046875,70021.23630009097,60441.46369990903
2024-04-29,63841.12109375,64174.87890625,61795.45703125,63106.36328125,26635912073,45.53886909490199,-842.4720852545797,-703.3442643395201,66183.375,64514.708984375,65349.0419921875,66700.73046875,69438.02223124435,60494.88831563066
2024-04-30,60636.85546875,64703.33203125,59120.06640625,63839.41796875,37840840057,37.930454662412544,-1080.320139546544,-778.739439380925,65917.712890625,63177.013671875,64547.36328125,66435.068359375,68522.7513361064,60415.056476393605
2024-05-01,58254.01171875,60780.5,56555.29296875,60609.49609375,48439780271,33.45420436341962,-1444.44139131892,-911.8798297685241,64635.326171875,61877.267578125,63256.296875,65152.681640625,67941.97954996173,59815.16849691327
2024-05-02,59123.43359375,59602.296875,56937.203125,58253.703125,32711813559,36.40324626603311,-1643.9051126070408,-1058.2848863362276,64635.326171875,61815.330078125,63225.328125,65152.681640625,67738.87166119437,59211.033026305646
2024-05-03,62889.8359375,63320.50390625,58848.3125,59122.30078125,33172023048,47.29905676811079,-1480.9923983016342,-1142.826388729309,64635.326171875,60915.25,62775.2880859375,65152.681640625,67696.48314131873,59160.25787430626
2024-05-04,63891.47265625,64494.95703125,62599.3515625,62891.03125,20620477992,49.76400504419522,-1256.5741813438217,-1165.5759472522116,64148.900390625,60672.474609375,62410.6875,65152.681640625,67478.23012455004,59193.78550044996
2024-05-05,64031.1328125,64610.890625,62955.3046875,63892.453125,18296164805,50.114362944654516,-1055.2870281706782,-1143.518163435905,63905.763671875,60629.3125,62267.5380859375,64635.326171875,67519.48864679498,59213.01916570502
2024-05-06,63161.94921875,65494.90234375,62746.23828125,64038.3125,28697928697,47.87645325420786,-954.8939381128512,-1105.7933183712944,63905.763671875,61025.09765625,62465.4306640625,64635.326171875,67482.70619812718,59184.81020812281
